brand,model,model_link,variant,variant_link,available
tvs,raider,https://www.zigwheels.com/tvs-bikes/raider,drum,https://www.zigwheels.com/tvs-bikes/raider/drum,1
tvs,raider,https://www.zigwheels.com/tvs-bikes/raider,single seat,https://www.zigwheels.com/tvs-bikes/raider/single-seat,1
tvs,raider,https://www.zigwheels.com/tvs-bikes/raider,split seat,https://www.zigwheels.com/tvs-bikes/raider/disc,1
tvs,raider,https://www.zigwheels.com/tvs-bikes/raider,igo,https://www.zigwheels.com/tvs-bikes/raider/igo,1
tvs,raider,https://www.zigwheels.com/tvs-bikes/raider,super squad edition,https://www.zigwheels.com/tvs-bikes/raider/super-squad-edition,1
tvs,raider,https://www.zigwheels.com/tvs-bikes/raider,smartxonnect,https://www.zigwheels.com/tvs-bikes/raider/smartxonnect,1
tvs,ntorq 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,std,https://www.zigwheels.com/tvs-bikes/ntorq-125/disc-bs6,1
tvs,ntorq 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,race edition,https://www.zigwheels.com/tvs-bikes/ntorq-125/race-edition-bs6,1
tvs,ntorq 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,super squad edition,https://www.zigwheels.com/tvs-bikes/ntorq-125/super-squad-edition,1
tvs,ntorq 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,race xp,https://www.zigwheels.com/tvs-bikes/ntorq-125/race-xp,1
tvs,ntorq 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,xt,https://www.zigwheels.com/tvs-bikes/ntorq-125/xt,1
tvs,apache rtr 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,black edition,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/dark-edition,1
tvs,apache rtr 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,drum,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/drum,1
tvs,apache rtr 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,disc,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/disc,1
tvs,apache rtr 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,disc bluetooth,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/disc-bluetooth,1
tvs,apache rtr 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,racing edition,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/racing-edition,1
tvs,jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,drum,https://www.zigwheels.com/tvs-bikes/jupiter/sheet-metal-wheel,1
tvs,jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,drum alloy,https://www.zigwheels.com/tvs-bikes/jupiter/bs6,1
tvs,jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,drum smartxonnect,https://www.zigwheels.com/tvs-bikes/jupiter/zx-drum-smartxonnect,1
tvs,jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,disc smartxonnect,https://www.zigwheels.com/tvs-bikes/jupiter/zx-smartxonnect,1
tvs,apache rtr 310,https://www.zigwheels.com/tvs-bikes/apache-rtr-310,arsenal black without quickshifter,https://www.zigwheels.com/tvs-bikes/apache-rtr-310/arsenal-black-without-quickshifter,1
tvs,apache rtr 310,https://www.zigwheels.com/tvs-bikes/apache-rtr-310,arsenal black,https://www.zigwheels.com/tvs-bikes/apache-rtr-310/arsenal-black,1
tvs,apache rtr 310,https://www.zigwheels.com/tvs-bikes/apache-rtr-310,fury yellow,https://www.zigwheels.com/tvs-bikes/apache-rtr-310/fury-yellow,1
tvs,ronin,https://www.zigwheels.com/tvs-bikes/ronin,base - lighting black,https://www.zigwheels.com/tvs-bikes/ronin/ss-lighting-black,1
tvs,ronin,https://www.zigwheels.com/tvs-bikes/ronin,base - magma red,https://www.zigwheels.com/tvs-bikes/ronin/std,1
tvs,ronin,https://www.zigwheels.com/tvs-bikes/ronin,mid - glacier silver,https://www.zigwheels.com/tvs-bikes/ronin/mid-glacier-silver,1
tvs,ronin,https://www.zigwheels.com/tvs-bikes/ronin,mid - charcoal ember,https://www.zigwheels.com/tvs-bikes/ronin/ds-2025,1
tvs,ronin,https://www.zigwheels.com/tvs-bikes/ronin,top,https://www.zigwheels.com/tvs-bikes/ronin/td-special-edition,1
tvs,iqube,https://www.zigwheels.com/tvs-bikes/iqube-electric,2.2 kwh,https://www.zigwheels.com/tvs-bikes/iqube-electric/2.2-kwh,1
tvs,iqube,https://www.zigwheels.com/tvs-bikes/iqube-electric,celebration edition,https://www.zigwheels.com/tvs-bikes/iqube-electric/celebration-edition,1
tvs,iqube,https://www.zigwheels.com/tvs-bikes/iqube-electric,3.4 kwh,https://www.zigwheels.com/tvs-bikes/iqube-electric/std,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,black edition,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/dark-edition,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,"front disc, rear drum",https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/drum,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,front and rear disc,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/single-disc,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,disc bluetooth,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/rear-disc,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,special edition,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/special-edition,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,dual channel abs,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/dual-channel-abs,1
tvs,apache rtr 160 4v,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v,dual channel abs with usd,https://www.zigwheels.com/tvs-bikes/apache-rtr-160-4v/dual-channel-abs-with-usd,1
tvs,jupiter 125,https://www.zigwheels.com/tvs-bikes/jupiter-125,drum alloy,https://www.zigwheels.com/tvs-bikes/jupiter-125/drum-alloy,1
