brand,model,model_link,variant,variant_link,available
TVS,Apache RTR 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,Apache RTR 160 Black Edition,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/dark-edition,1
TVS,Apache RTR 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,Apache RTR 160 Drum,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/drum,1
TVS,Apache RTR 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,Apache RTR 160 Disc,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/disc,1
TVS,Apache RTR 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,Apache RTR 160 Disc Bluetooth,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/disc-bluetooth,1
TVS,Apache RTR 160,https://www.zigwheels.com/tvs-bikes/apache-rtr-160,Apache RTR 160 Racing Edition,https://www.zigwheels.com/tvs-bikes/apache-rtr-160/racing-edition,1
TVS,NTORQ 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,NTORQ 125 STD,https://www.zigwheels.com/tvs-bikes/ntorq-125/disc-bs6,1
TVS,NTORQ 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,NTORQ 125 Race Edition,https://www.zigwheels.com/tvs-bikes/ntorq-125/race-edition-bs6,1
TVS,NTORQ 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,NTORQ 125 Super Squad Edition,https://www.zigwheels.com/tvs-bikes/ntorq-125/super-squad-edition,1
TVS,NTORQ 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,NTORQ 125 Race XP,https://www.zigwheels.com/tvs-bikes/ntorq-125/race-xp,1
TVS,NTORQ 125,https://www.zigwheels.com/tvs-bikes/ntorq-125,NTORQ 125 XT,https://www.zigwheels.com/tvs-bikes/ntorq-125/xt,1
TVS,Raider,https://www.zigwheels.com/tvs-bikes/raider,Raider Drum,https://www.zigwheels.com/tvs-bikes/raider/drum,1
TVS,Raider,https://www.zigwheels.com/tvs-bikes/raider,Raider Single Seat,https://www.zigwheels.com/tvs-bikes/raider/single-seat,1
TVS,Raider,https://www.zigwheels.com/tvs-bikes/raider,Raider Split Seat,https://www.zigwheels.com/tvs-bikes/raider/disc,1
TVS,Raider,https://www.zigwheels.com/tvs-bikes/raider,Raider iGO,https://www.zigwheels.com/tvs-bikes/raider/igo,1
TVS,Raider,https://www.zigwheels.com/tvs-bikes/raider,Raider Super Squad Edition,https://www.zigwheels.com/tvs-bikes/raider/super-squad-edition,1
TVS,Raider,https://www.zigwheels.com/tvs-bikes/raider,Raider SmartXonnect,https://www.zigwheels.com/tvs-bikes/raider/smartxonnect,1
TVS,Jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,Jupiter Drum,https://www.zigwheels.com/tvs-bikes/jupiter/sheet-metal-wheel,1
TVS,Jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,Jupiter Drum Alloy,https://www.zigwheels.com/tvs-bikes/jupiter/bs6,1
TVS,Jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,Jupiter Drum SmartXonnect,https://www.zigwheels.com/tvs-bikes/jupiter/zx-drum-smartxonnect,1
TVS,Jupiter,https://www.zigwheels.com/tvs-bikes/jupiter,Jupiter Disc SmartXonnect,https://www.zigwheels.com/tvs-bikes/jupiter/zx-smartxonnect,1
TVS,Ronin,https://www.zigwheels.com/tvs-bikes/ronin,Ronin SS - Lighting Black,https://www.zigwheels.com/tvs-bikes/ronin/ss-lighting-black,1
TVS,Ronin,https://www.zigwheels.com/tvs-bikes/ronin,Ronin SS - Magma Red,https://www.zigwheels.com/tvs-bikes/ronin/std,1
TVS,Ronin,https://www.zigwheels.com/tvs-bikes/ronin,Ronin DS,https://www.zigwheels.com/tvs-bikes/ronin/dual-tone-single-channel,1
TVS,Ronin,https://www.zigwheels.com/tvs-bikes/ronin,Ronin DS (2025),https://www.zigwheels.com/tvs-bikes/ronin/ds-2025,1
TVS,Ronin,https://www.zigwheels.com/tvs-bikes/ronin,Ronin TD,https://www.zigwheels.com/tvs-bikes/ronin/triple-tone-dual-channel-galactic-grey,1
TVS,Ronin,https://www.zigwheels.com/tvs-bikes/ronin,Ronin TD - Special Edition,https://www.zigwheels.com/tvs-bikes/ronin/td-special-edition,1
TVS,Apache RTR 310,https://www.zigwheels.com/tvs-bikes/apache-rtr-310,Apache RTR 310 Arsenal Black Without Quickshifter,https://www.zigwheels.com/tvs-bikes/apache-rtr-310/arsenal-black-without-quickshifter,1
TVS,Apache RTR 310,https://www.zigwheels.com/tvs-bikes/apache-rtr-310,Apache RTR 310 Arsenal Black,https://www.zigwheels.com/tvs-bikes/apache-rtr-310/arsenal-black,1
TVS,Apache RTR 310,https://www.zigwheels.com/tvs-bikes/apache-rtr-310,Apache RTR 310 Fury Yellow,https://www.zigwheels.com/tvs-bikes/apache-rtr-310/fury-yellow,1
TVS,Jupiter 125,https://www.zigwheels.com/tvs-bikes/jupiter-125,Jupiter 125 Drum Alloy,https://www.zigwheels.com/tvs-bikes/jupiter-125/drum-alloy,1
TVS,Jupiter 125,https://www.zigwheels.com/tvs-bikes/jupiter-125,Jupiter 125 Disc,https://www.zigwheels.com/tvs-bikes/jupiter-125/disc,1
