brand,model,model_link,variant,variant_link,available
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,lxi,https://www.zigwheels.com/maruti-suzuki-cars/dzire/lxi,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,vxi,https://www.zigwheels.com/maruti-suzuki-cars/dzire/vxi,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,vxi amt,https://www.zigwheels.com/maruti-suzuki-cars/dzire/vxi-amt,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,vxi cng,https://www.zigwheels.com/maruti-suzuki-cars/dzire/vxi-cng,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,zxi,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,zxi amt,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-amt,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,zxi plus,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-plus,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,zxi cng,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-cng,1
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,zxi plus amt,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-plus-amt,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,lxi (o),https://www.zigwheels.com/maruti-suzuki-cars/ertiga/lxi-o,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,vxi (o),https://www.zigwheels.com/maruti-suzuki-cars/ertiga/vxi-o,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,vxi (o) cng,https://www.zigwheels.com/maruti-suzuki-cars/ertiga/vxi-o-cng,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,zxi (o),https://www.zigwheels.com/maruti-suzuki-cars/ertiga/zxi-o,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,vxi at,https://www.zigwheels.com/maruti-suzuki-cars/ertiga/vxi-at,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,zxi plus,https://www.zigwheels.com/maruti-suzuki-cars/ertiga/zxi-plus,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,zxi (o) cng,https://www.zigwheels.com/maruti-suzuki-cars/ertiga/zxi-o-cng,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,zxi at,https://www.zigwheels.com/maruti-suzuki-cars/ertiga/zxi-at,1
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga,zxi plus at,https://www.zigwheels.com/maruti-suzuki-cars/ertiga/zxi-plus-at,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,lxi,https://www.zigwheels.com/maruti-suzuki-cars/swift/lxi,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,vxi,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,vxi opt,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-opt,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,vxi amt,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-amt,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,vxi opt amt,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-opt-amt,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,vxi cng,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-cng,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,vxi opt cng,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-opt-cng,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi amt,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-amt,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi plus,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-plus,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi plus dt,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-plus-dt,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi cng,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-cng,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi plus amt,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-plus-amt,1
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,zxi plus amt dt,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-plus-amt-dt,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,lxi,https://www.zigwheels.com/maruti-suzuki-cars/brezza/lxi,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,lxi cng,https://www.zigwheels.com/maruti-suzuki-cars/brezza/lxi-cng,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,vxi,https://www.zigwheels.com/maruti-suzuki-cars/brezza/vxi,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,vxi cng,https://www.zigwheels.com/maruti-suzuki-cars/brezza/vxi-cng,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,vxi at,https://www.zigwheels.com/maruti-suzuki-cars/brezza/vxi-at,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi dt,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-dt,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi cng,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-cng,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi cng dt,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-cng-dt,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi at,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-at,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi plus,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-plus,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi at dt,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-at-dt,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi plus dt,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-plus-dt,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi plus at,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-plus-at,1
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza,zxi plus at dt,https://www.zigwheels.com/maruti-suzuki-cars/brezza/zxi-plus-at-dt,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,sigma,https://www.zigwheels.com/maruti-suzuki-cars/fronx/sigma,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,sigma cng,https://www.zigwheels.com/maruti-suzuki-cars/fronx/sigma-cng,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta plus,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-plus,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta amt,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-amt,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta plus opt,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-plus-opt,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta plus amt,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-plus-amt,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta cng,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-cng,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta plus opt amt,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-plus-opt-amt,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,delta plus turbo,https://www.zigwheels.com/maruti-suzuki-cars/fronx/delta-plus-turbo,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,zeta turbo,https://www.zigwheels.com/maruti-suzuki-cars/fronx/zeta-turbo,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,alpha turbo,https://www.zigwheels.com/maruti-suzuki-cars/fronx/alpha-turbo,1
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx,alpha turbo dt,https://www.zigwheels.com/maruti-suzuki-cars/fronx/alpha-turbo-dt,1
