brand,model,model_link,variant,variant_link,available
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire LXI,https://www.zigwheels.com/maruti-suzuki-cars/dzire/lxi,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire VXI,https://www.zigwheels.com/maruti-suzuki-cars/dzire/vxi,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire VXI AMT,https://www.zigwheels.com/maruti-suzuki-cars/dzire/vxi-amt,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire VXI CNG,https://www.zigwheels.com/maruti-suzuki-cars/dzire/vxi-cng,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire ZXI,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire ZXI AMT,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-amt,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire ZXI Plus,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-plus,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire ZXI CNG,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-cng,1
Maruti Suzuki,Dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire,Dzire ZXI Plus AMT,https://www.zigwheels.com/maruti-suzuki-cars/dzire/zxi-plus-amt,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift LXi,https://www.zigwheels.com/maruti-suzuki-cars/swift/lxi,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift VXi,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift VXi Opt,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-opt,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift VXi AMT,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-amt,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift VXi Opt AMT,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-opt-amt,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift VXi CNG,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-cng,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift ZXi,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift VXi Opt CNG,https://www.zigwheels.com/maruti-suzuki-cars/swift/vxi-opt-cng,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift ZXi AMT,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-amt,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift ZXi Plus,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-plus,1
Maruti Suzuki,Swift,https://www.zigwheels.com/maruti-suzuki-cars/swift,Swift ZXi Plus DT,https://www.zigwheels.com/maruti-suzuki-cars/swift/zxi-plus-dt,1
